year,round,race,hard,medium,soft,source
2023,18,United States,C2,C3,C4,https://press.pirelli.com/two-confirmations-and-an-innovation-in-the-tyre-choices-for-the-american-continent/
2023,19,Mexico,C3,C4,C5,https://press.pirelli.com/two-confirmations-and-an-innovation-in-the-tyre-choices-for-the-american-continent/
2023,20,Brazil,C2,C3,C4,https://press.pirelli.com/two-confirmations-and-an-innovation-in-the-tyre-choices-for-the-american-continent/
2023,21,Las Vegas,C3,C4,C5,https://press.pirelli.com/a-soft-landing-for-the-2023-world-championship/
2023,22,Abu Dhabi,C3,C4,C5,https://press.pirelli.com/a-soft-landing-for-the-2023-world-championship/
2024,1,Bahrain,C1,C2,C3,https://press.pirelli.com/pirelli-nominates-the-compounds-for-the-start-of-2024/
2024,2,Saudi Arabia,C2,C3,C4,https://press.pirelli.com/pirelli-nominates-the-compounds-for-the-start-of-2024/
2024,3,Australia,C3,C4,C5,https://press.pirelli.com/pirelli-nominates-the-compounds-for-the-start-of-2024/
2024,4,Japan,C1,C2,C3,https://press.pirelli.com/these-are-the-p-zero-compounds-for-suzuka-shanghai-and-miami/
2024,5,China,C2,C3,C4,https://press.pirelli.com/these-are-the-p-zero-compounds-for-suzuka-shanghai-and-miami/
2024,6,Miami,C2,C3,C4,https://press.pirelli.com/these-are-the-p-zero-compounds-for-suzuka-shanghai-and-miami/
2024,7,Emilia Romagna,C3,C4,C5,https://press.pirelli.com/same-soft-trio-for-imola-monaco-and-montreal/
2024,8,Monaco,C3,C4,C5,https://press.pirelli.com/same-soft-trio-for-imola-monaco-and-montreal/
2024,9,Canada,C3,C4,C5,https://press.pirelli.com/same-soft-trio-for-imola-monaco-and-montreal/
2024,10,Spain,C1,C2,C3,https://press.pirelli.com/no-surprises-for-the-compounds-for-spain-austria-and-great-britain/
2024,11,Austria,C3,C4,C5,https://press.pirelli.com/no-surprises-for-the-compounds-for-spain-austria-and-great-britain/
2024,12,Great Britain,C1,C2,C3,https://press.pirelli.com/no-surprises-for-the-compounds-for-spain-austria-and-great-britain/
2024,13,Hungary,C3,C4,C5,https://press.pirelli.com/all-compounds-on-track-over-next-three-races/
2024,14,Belgium,C2,C3,C4,https://press.pirelli.com/all-compounds-on-track-over-next-three-races/
2024,15,Netherlands,C1,C2,C3,https://press.pirelli.com/all-compounds-on-track-over-next-three-races/
2024,16,Italy,C3,C4,C5,https://press.pirelli.com/a-soft-september-for-pirelli-in-f1-compounds-confirmed-for-monza-baku-and-singapore/
2024,17,Azerbaijan,C3,C4,C5,https://press.pirelli.com/a-soft-september-for-pirelli-in-f1-compounds-confirmed-for-monza-baku-and-singapore/
2024,18,Singapore,C3,C4,C5,https://press.pirelli.com/a-soft-september-for-pirelli-in-f1-compounds-confirmed-for-monza-baku-and-singapore/
2024,19,United States,C2,C3,C4,https://press.pirelli.com/these-are-the-tyres-for-the-americas/
2024,20,Mexico,C3,C4,C5,https://press.pirelli.com/these-are-the-tyres-for-the-americas/
2024,21,Brazil,C3,C4,C5,https://press.pirelli.com/these-are-the-tyres-for-the-americas/
2024,22,Las Vegas,C3,C4,C5,https://press.pirelli.com/all-compounds-on-track-to-end-the-season/
2024,23,Qatar,C1,C2,C3,https://press.pirelli.com/all-compounds-on-track-to-end-the-season/
2024,24,Abu Dhabi,C3,C4,C5,https://press.pirelli.com/all-compounds-on-track-to-end-the-season/
2025,1,Australia,C3,C4,C5,https://press.pirelli.com/2025-compounds-something-new-for-jeddah/
2025,2,China,C2,C3,C4,https://press.pirelli.com/2025-compounds-something-new-for-jeddah/
2025,3,Japan,C1,C2,C3,https://press.pirelli.com/2025-compounds-something-new-for-jeddah/
2025,4,Bahrain,C1,C2,C3,https://press.pirelli.com/2025-compounds-something-new-for-jeddah/
2025,5,Saudi Arabia,C3,C4,C5,https://press.pirelli.com/2025-compounds-something-new-for-jeddah/
2025,6,Miami,C3,C4,C5,https://press.pirelli.com/pirelli-on-the-soft-side-for-miami-and-imola/
2025,7,Emilia Romagna,C4,C5,C6,https://press.pirelli.com/pirelli-on-the-soft-side-for-miami-and-imola/
2025,8,Monaco,C4,C5,C6,https://press.pirelli.com/from-monaco-to-montreal-all-the-compounds-in-play/
2025,9,Spain,C1,C2,C3,https://press.pirelli.com/from-monaco-to-montreal-all-the-compounds-in-play/
2025,10,Canada,C4,C5,C6,https://press.pirelli.com/from-monaco-to-montreal-all-the-compounds-in-play/
2025,11,Austria,C3,C4,C5,https://press.pirelli.com/both-new-and-familiar-for-spielberg-to-budapest/
2025,12,Great Britain,C2,C3,C4,https://press.pirelli.com/both-new-and-familiar-for-spielberg-to-budapest/
2025,13,Belgium,C1,C3,C4,https://press.pirelli.com/both-new-and-familiar-for-spielberg-to-budapest/
2025,14,Hungary,C3,C4,C5,https://press.pirelli.com/both-new-and-familiar-for-spielberg-to-budapest/
2025,15,Netherlands,C2,C3,C4,https://press.pirelli.com/changes-and-status-quo-when-it-comes-to-compound-choices-for-the-rest-of-the-season0/
2025,16,Italy,C3,C4,C5,https://press.pirelli.com/changes-and-status-quo-when-it-comes-to-compound-choices-for-the-rest-of-the-season0/
2025,17,Azerbaijan,C4,C5,C6,https://press.pirelli.com/changes-and-status-quo-when-it-comes-to-compound-choices-for-the-rest-of-the-season0/
2025,18,Singapore,C3,C4,C5,https://press.pirelli.com/changes-and-status-quo-when-it-comes-to-compound-choices-for-the-rest-of-the-season0/
2025,19,United States,C1,C3,C4,https://press.pirelli.com/changes-and-status-quo-when-it-comes-to-compound-choices-for-the-rest-of-the-season0/
2025,20,Mexico,C2,C4,C5,https://press.pirelli.com/changes-and-status-quo-when-it-comes-to-compound-choices-for-the-rest-of-the-season0/
2025,21,Brazil,C2,C3,C4,https://press.pirelli.com/changes-and-status-quo-when-it-comes-to-compound-choices-for-the-rest-of-the-season0/
2025,22,Las Vegas,C3,C4,C5,https://press.pirelli.com/changes-and-status-quo-when-it-comes-to-compound-choices-for-the-rest-of-the-season0/
2025,23,Qatar,C1,C2,C3,https://press.pirelli.com/changes-and-status-quo-when-it-comes-to-compound-choices-for-the-rest-of-the-season0/
2025,24,Abu Dhabi,C3,C4,C5,https://press.pirelli.com/changes-and-status-quo-when-it-comes-to-compound-choices-for-the-rest-of-the-season0/
2026,1,Australia,C3,C4,C5,https://press.pirelli.com/complete-f1-tyre-range-for-the-first-three-grands-prix-of-2026/
2026,2,China,C2,C3,C4,https://press.pirelli.com/complete-f1-tyre-range-for-the-first-three-grands-prix-of-2026/
2026,3,Japan,C1,C2,C3,https://press.pirelli.com/complete-f1-tyre-range-for-the-first-three-grands-prix-of-2026/
2026,4,Miami,C3,C4,C5,https://press.pirelli.com/the-softest-trio-for-the-challenges-of-miami-and-montreal/
2026,5,Canada,C3,C4,C5,https://press.pirelli.com/the-softest-trio-for-the-challenges-of-miami-and-montreal/
2026,6,Monaco,C3,C4,C5,https://press.pirelli.com/the-tyre-compound-selections-for-monte-carlo-and-barcelona/
2026,7,Barcelona,C2,C3,C4,https://press.pirelli.com/the-tyre-compound-selections-for-monte-carlo-and-barcelona/
2026,8,Austria,C3,C4,C5,https://press.pirelli.com/the-full-pirelli-range-for-spielberg-and-silverstone/
2026,9,Great Britain,C1,C2,C3,https://press.pirelli.com/the-full-pirelli-range-for-spielberg-and-silverstone/
2026,10,Belgium,C2,C3,C4,https://press.pirelli.com/the-compounds-selected-for-belgium-and-hungary/
2026,11,Hungary,C3,C4,C5,https://press.pirelli.com/the-compounds-selected-for-belgium-and-hungary/
2026,12,Netherlands,C2,C3,C4,https://press.pirelli.com/tyre-compounds-selected-for-zandvoort-monza-and-madrid/
2026,13,Italy,C3,C4,C5,https://press.pirelli.com/tyre-compounds-selected-for-zandvoort-monza-and-madrid/
2026,14,Madrid,C2,C3,C4,https://press.pirelli.com/tyre-compounds-selected-for-zandvoort-monza-and-madrid/
2026,,Azerbaijan,C3,C4,C5,https://press.pirelli.com/tyre-compound-selections-for-baku-sepang-and-singapore/
